DIVISION,DATE,FIXTURE,HOME TEAM,AWAY TEAM,Team_Home,PPG_Home,Last8_Home,Team_Away,PPG_Away,Last8_Away
EPL,11/05/19,Stuttgart - Wolfsburg,Stuttgart,Wolfsburg,Stuttgart,0.13114754098360654,0.2727272727272727,Wolfsburg,0.5846994535519126,0.5927272727272727
EPL,18/05/19,Bayern Munich - Frankfurt,Bayern Munich,Frankfurt,Bayern Munich,1.0,1.0,Frankfurt,0.7158469945355191,0.8654545454545454
EPL,18/05/19,Düsseldorf - Hannover 96,Düsseldorf,Hannover 96,Düsseldorf,0.4371584699453552,0.5454545454545454,Hannover 96,0.0,0.0
EPL,18/05/19,Freiburg - FC Nürnberg,Freiburg,FC Nürnberg,Freiburg,0.3387978142076503,0.4109090909090909,FC Nürnberg,0.07650273224043716,0.2727272727272727
EPL,18/05/19,FSV Mainz - Hoffenheim,FSV Mainz,Hoffenheim,FSV Mainz,0.360655737704918,0.2727272727272727,Hoffenheim,0.6229508196721312,0.7745454545454545
EPL,18/05/19,Hertha Berlin - Leverkusen,Hertha Berlin,Leverkusen,Hertha Berlin,0.3989071038251366,0.18181818181818182,Leverkusen,0.5846994535519126,0.5454545454545454
EPL,18/05/19,Moenchengladb. - Dortmund,Moenchengladb.,Dortmund,Moenchengladb.,0.6994535519125683,0.4109090909090909,Dortmund,0.983606557377049,0.7272727272727273
EPL,18/05/19,Schalke 04 - Stuttgart,Schalke 04,Stuttgart,Schalke 04,0.24590163934426232,0.2290909090909091,Stuttgart,0.13114754098360654,0.2727272727272727
EPL,18/05/19,Werder Bremen - RB Leipzig,Werder Bremen,RB Leipzig,Werder Bremen,0.6065573770491803,0.7272727272727273,RB Leipzig,0.8306010928961748,0.9090909090909091
EPL,18/05/19,Wolfsburg - FC Augsburg,Wolfsburg,FC Augsburg,Wolfsburg,0.5846994535519126,0.5927272727272727,FC Augsburg,0.26775956284153,0.45454545454545453
